# Número de partículas:      864
# Temperatura de referencia: 2.00
# Pasos de equilibración:    500
# Pasos de medición:         1500
# (mediciones cada 10 pasos)
# densidad, volumen, energía potencial media, presión media
1.200000	720.000000	-1108.756114	-nan
1.100000	785.454545	-1016.359771	0.906023
1.000000	864.000000	-923.963428	0.930598
0.900000	960.000000	-831.567085	0.933784
0.800000	1080.000000	-739.170742	0.915583
0.700000	1234.285714	-646.774400	0.875993
0.600000	1440.000000	-554.378057	0.815015
0.500000	1728.000000	-461.981714	0.732649
0.400000	2160.000000	-369.585371	0.628896
# Tiempo total de simulación = 14.993299 segundos
# Tiempo simulado = 108.000000 [fs]
# ns/day = 0.622358
# Número de partículas:      864
# Temperatura de referencia: 2.00
# Pasos de equilibración:    500
# Pasos de medición:         1500
# (mediciones cada 10 pasos)
# densidad, volumen, energía potencial media, presión media
1.200000	720.000000	-1108.756114	-nan
1.100000	785.454545	-1016.359771	0.906023
1.000000	864.000000	-923.963428	0.930598
0.900000	960.000000	-831.567085	0.933784
0.800000	1080.000000	-739.170742	0.915583
0.700000	1234.285714	-646.774400	0.875993
0.600000	1440.000000	-554.378057	0.815015
0.500000	1728.000000	-461.981714	0.732649
0.400000	2160.000000	-369.585371	0.628896
# Tiempo total de simulación = 15.008008 segundos
# Tiempo simulado = 108.000000 [fs]
# ns/day = 0.621748
# Número de partículas:      864
# Temperatura de referencia: 2.00
# Pasos de equilibración:    500
# Pasos de medición:         1500
# (mediciones cada 10 pasos)
# densidad, volumen, energía potencial media, presión media
1.200000	720.000000	-1108.756114	-nan
1.100000	785.454545	-1016.359771	0.906023
1.000000	864.000000	-923.963428	0.930598
0.900000	960.000000	-831.567085	0.933784
0.800000	1080.000000	-739.170742	0.915583
0.700000	1234.285714	-646.774400	0.875993
0.600000	1440.000000	-554.378057	0.815015
0.500000	1728.000000	-461.981714	0.732649
0.400000	2160.000000	-369.585371	0.628896
# Tiempo total de simulación = 15.248553 segundos
# Tiempo simulado = 108.000000 [fs]
# ns/day = 0.611940
